id_feature,name_feature,description_feature
1,2. Diameter [km],Most of the small Apollo landing site crater diameters are taken from M¨¹ller & Jappel (1977).
2,8. Apparent diameter [km],"measured at the pre-impact surface level, according to Pike (1977b)."
3,9. Transient cavity diameter [km],"for simple craters (smaller than 15 km) equation Dtc=0.84D from Melosh (1989, p. 129) is applied, for complex craters larger than 15 km equation 9 from Croft (1985) is applied."
4,10. Transient cavity diameter [km],"for complex craters. Equation 5 from Kring (1995) is applied with the assumption that transient cavity radius of complex and simple craters are the same. (0 means that value can not be calculated for simple craters, i.e. smaller than 15 km in diameter.)"
5,11. Floor diameter [km],"calculated based on H?rz et al. (1991, table 4.1, pp. 66; Pike 1977).  (0 means that basin is too big to be able to use the equation accurately for craters smaller than 20 and larger than 125 km in diameter.)"
6,13. Rim to floor depth [km],calculated based on Pike 1977a. (0 means that basin is too big to be able to use the equation accurately for craters smaller than 15 km and larger than 275 km in diameter.)
7,14. Apparent depth [km],"measured at the pre-impact surface level, according to Pike (1977b)."
8,15. Transient cavity depth [km],equal to 1/3 of transient cavity diameter St?ffler et al. (2006).
9,16. Interior volume [km^3],"calculated based on H?rz et al. (1991, table 4.1, pp. 66; Croft 1978). (0 means that value can not be calculated accurately for craters smaller than 13 and larger than 150 km in diameter.) "
10,17. Rim height [km],"calculated based on H?rz et al. (1991, table 4.1, pp. 66; Pike 1977a).  (0 means that basin is too big to be able to use the equation accurately for craters smaller than 15 km and larger than 375 km in diameter.)"
11,18. Rim flank width [km],"calculated based on H?rz et al. (1991, table 4.1, pp. 66; Pike 1977).  (0 means that basin is too big to be able to use the equation efficiently.)"
12,20. Height of central peak [km],"calculated based on H?rz et al. (1991, table 4.1, pp. 66; Hale and Grieve (1982)).  (0 means that value cannot be calculated accurately for craters smaller than 17 km and larger than 51 km in diameter.) "
13,21. Diameter of central peak [km],"calculated based on H?rz et al. (1991, table 4.1, pp. 66; Hale and Head (1979)).  (0 means that value cannot be calculated accurately for craters smaller than 17 km and larger than 175 km in diameter.)"
14,22. Basal area of central peak [km^2],"calculated based on H?rz et al. (1991, table 4.1, pp. 66; Hale and Grieve (1982)).  (0 means that value cannot be calculated accurately for craters smaller than 17 km and larger than 136 km in diameter.) "
15,23. Maximum diameter of ejecta blocks [km]," - coefficient 2, calculated from H?rz et al. (1991, table 4.3, pp. 72; based on Moore (1971)).  (0 means that value cannot be calculated accurately for craters smaller than 0.1 and larger than 98 km in diameter.) "
16,24. Maximum diameter of ejecta blocks [km]," - coefficient 1, calculated from H?rz et al. (1991, table 4.3, pp. 72; based on Moore (1971)).  (0 means that value cannot be calculated accurately for craters smaller than 0.1 and larger than 98 km in diameter.) "
17,25. Thickness of ejecta in the distance equal to one radius [m]," - ejecta on the rim, for simple craters equation 4 from Kring (1995), for complex craters (D>15000 m) calculated based on equation from McGetchin et al. (1973). Equation used for complex craters was used in the original paper to calculate ejecta thickness of large basins like Imbrium in the Apollo landing sites, other authors (H?rz et al. 1991) suggest that values for large multiring basins can be ambiguous. Pike (1974) suggested 3 other equation to calculate thickness of ejecta blankets on the Moon that vary significantly (also calculated in this database). Because the equations are not calibrated in the reliable way, it is very hard to evaluate their precision. Usually the distance of continuous ejecta is assumed to be equal to distance of 2 or 3 radii (from crater center). "
18,26. Thickness of ejecta in the distance equal to two radii [m],"for simple craters equation 4 from Kring (1995), for complex craters (D>15000 m) calculated based on equation from McGetchin et al. (1973). Equation used for complex craters was used in the original paper to calculate ejecta thickness of large basins like Imbrium in the Apollo landing sites, other authors (H?rz et al. 1991) suggest that values for large multiring basins can be ambiguous. Pike (1974) suggested 3 other equation to calculate thickness of ejecta blankets on the Moon that vary significantly (also calculated in this database). Because the equations are not calibrated in the reliable way, it is very hard to evaluate their precision. Usually the distance of continuous ejecta is assumed to be equal to distance of 2 or 3 radii (from crater center). "
